1,280,197.04,8,2023
2,361,240.93,3,2023
3,256,196.31,2,2023
4,324,233.31,9,2024
5,665,733.95,1,2023
6,474,762.16,10,2024
7,756,499.01,4,2023
8,291,168.33,4,2024
9,170,348.56,8,2023
10,315,410.05,8,2023
11,275,199.79,2,2024
12,730,583.56,1,2023
13,174,526.78,12,2023
14,457,774.28,8,2024
15,931,563.96,1,2023
16,360,779.19,10,2024
17,681,997.61,7,2023
18,314,390.67,6,2023
19,578,307.73,3,2024
20,331,509.63,3,2024
21,777,665.22,1,2024
22,881,793.09,5,2024
23,134,80.04,5,2023
24,301,597.77,9,2024
25,90,109.53,11,2024
26,247,401.7,12,2023
27,652,738.51,11,2024
28,299,379.82,9,2024
29,889,167.47,5,2023
30,585,165.32,5,2024
31,775,151.08,6,2023
32,918,634.11,3,2023
33,423,862.76,8,2023
34,434,866.09,10,2024
35,598,33.52,4,2024
36,287,277.08,6,2023
37,72,933.37,1,2024
38,638,276.0,5,2024
39,660,57.0,12,2023
40,962,376.47,1,2024
41,883,396.39,8,2023
42,891,751.16,8,2023
43,579,842.22,6,2023
44,686,907.17,9,2024
45,533,870.64,11,2024
46,221,117.36,4,2023
47,837,641.64,8,2024
48,597,134.99,5,2023
49,234,549.9,8,2024
50,867,720.12,4,2024
51,123,939.93,7,2023
52,225,622.8,12,2024
53,596,815.85,10,2024
54,11,252.07,12,2024
55,699,444.71,6,2024
56,97,218.73,9,2024
57,299,488.57,9,2023
58,60,976.3,10,2023
59,830,293.93,8,2023
60,219,176.27,7,2023
61,904,247.89,4,2023
62,375,425.78,11,2023
63,645,532.21,12,2023
64,193,468.53,10,2024
65,585,687.41,5,2024
66,279,215.17,11,2024
67,781,128.75,6,2023
68,26,935.48,7,2024
69,636,228.35,6,2024
70,450,617.32,8,2024
71,150,878.72,2,2023
72,248,611.36,8,2024
73,238,976.95,9,2023
74,920,720.2,11,2024
75,166,894.14,7,2024
76,604,80.53,10,2023
77,716,725.83,8,2023
78,952,923.64,2,2024
79,784,826.67,6,2024
80,612,640.56,7,2024
81,463,170.87,8,2024
82,207,118.74,5,2024
83,168,594.3,4,2024
84,781,187.58,2,2024
85,413,645.93,9,2023
86,247,340.92,6,2024
87,241,823.43,2,2024
88,681,584.26,10,2024
89,210,752.75,7,2023
90,779,911.19,1,2023
91,115,340.94,7,2024
92,33,701.9,7,2023
93,773,269.45,2,2024
94,415,960.21,9,2024
95,390,379.68,11,2024
96,565,54.32,8,2023
97,376,565.97,8,2024
98,329,573.8,12,2024
99,178,205.3,3,2023
100,61,926.59,4,2023
101,156,231.99,12,2024
102,893,392.15,10,2023
103,502,147.71,7,2023
104,921,650.43,1,2023
105,451,909.64,12,2024
106,371,203.24,12,2023
107,591,991.98,3,2023
108,662,344.75,12,2023
109,786,831.81,7,2024
110,405,916.24,11,2023
111,810,365.3,2,2024
112,963,296.22,9,2023
113,899,293.84,11,2024
114,957,808.58,5,2024
115,40,390.86,1,2023
116,819,318.51,6,2023
117,340,180.93,12,2024
118,226,201.2,2,2024
119,630,184.01,5,2023
120,152,281.55,8,2024
121,771,723.34,12,2024
122,594,293.49,9,2024
